source,translation_A,translation_B,A,equal,B,label_A,label_B,text,text_type
Ich kann mich auf nzz.ch nicht anmelden.,I cannot log in to nzz.ch.,I can't log in to nzz.ch.,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
Was kann ich tun?,What can I do?,What can I do?,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
,,,,,,,,,
"Wenn Sie auf nzz.ch im Internet-Browser nicht anmelden können, bitte versuchen Sie folgendes:","If you cannot log in to nzz.ch in your web browser, please try the following:","If you cannot log in to nzz.ch in your Internet browser, please try the following:",FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
,,,,,,,,,
- Melden Sie sich (falls möglich) ab.,- Log out (if possible).,- Log out (if possible).,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
- Löschen Sie den Cache und die Cookies Ihres Internet-Browsers.,- Clear the cache and cookies of your web browser.,- Delete the cache and cookies of your Internet browser.,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
- Öffnen Sie die Webseite einmal neu und melden sich erneut an.,- Reopen the website and log in again.,- Reopen the website once and log in again.,TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
,,,,,,,,,
"Ist eine Anmeldung immer noch nicht möglich, wenden Sie sich bitte an unseren Leserservice.","If you still cannot log in, please contact our customer service.","If you still cannot log in, please contact our reader service.",FALSE,FALSE,TRUE,Supertext,DeepL,de-CH_inst_1.txt,instructions
"Um Ihr Anliegen bestmöglich bearbeiten zu können, bitten wir Sie um folgende Informationen:","To best assist you, please provide us with the following information:","In order to process your request in the best possible way, please provide the following information:",FALSE,FALSE,TRUE,Supertext,DeepL,de-CH_inst_1.txt,instructions
,,,,,,,,,
"- Welchen Internet-Browser verwenden Sie? (Internet Explorer, Google Chrome, Safari, Firefox)","- Which web browser are you using? (Internet Explorer, Google Chrome, Safari, Firefox)","- Which Internet browser are you using? (Internet Explorer, Google Chrome, Safari, Firefox)",FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
Wie lautet die Version Ihres Browsers?,What is the version of your browser?,What is the version of your browser?,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
Funktioniert es auf einem anderen Browser?,Does it work in another browser?,Does it work on another browser?,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
Bitte nennen Sie uns hier ebenfalls die Version.,Please also tell us the version of the other browser.,Please also tell us the version here.,TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
"- Ist es Ihnen möglich, uns einen Screenshot des besagten Fehlers zukommen zu lassen?","- If possible, please send us a screenshot of the error message.",- Is it possible for you to send us a screenshot of the error in question?,TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
,,,,,,,,,
Wie kann ich mein Abonnement kündigen?,How can I cancel my subscription?,How can I cancel my subscription?,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_2.txt,instructions
,,,,,,,,,
Sie können Ihr Abonnement jederzeit zum Ende der bezahlten Laufzeit kündigen.,You can cancel your subscription at any time before the end of the paid period.,You can cancel your subscription at any time at the end of the paid term.,TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_2.txt,instructions
"Damit wir Ihre Kündigung rechtzeitig bearbeiten können, muss diese spätestens 5 Tage vor Ablauf der Laufzeit bei uns im Leserservice eintreffen.","To ensure that we can process your cancellation in time, it must reach us in the Reader Service at least 5 days before the end of the period.","To ensure that we can process your cancellation in good time, it must reach our reader service at least 5 days before the end of the term.",FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_2.txt,instructions
Abonnemente mit monatlicher Laufzeit können Sie online in Ihrem Benutzerkonto kündigen.,Monthly subscriptions can be cancelled online in your user account.,Subscriptions with a monthly term can be cancelled online in your user account.,TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_2.txt,instructions
In allen anderen Fällen nehmen wir Ihre Kündigung gerne unter +41 44 258 10 00 entgegen.,"In all other cases, please call us on +41 44 258 10 00 to cancel your subscription.","In all other cases, we will be happy to accept your cancellation on +41 44 258 10 00.",FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_2.txt,instructions
,,,,,,,,,
"Falls Sie die Zeitung ab sofort nicht mehr beziehen möchten, können Sie diese bis zum Ablauf des Abonnements einer Person Ihrer Wahl zukommen lassen.","If you no longer wish to receive the newspaper, you can have it delivered to a third party until the end of the subscription period.","If you no longer wish to receive the newspaper with immediate effect, you can send it to a person of your choice until your subscription expires.",FALSE,FALSE,TRUE,Supertext,DeepL,de-CH_inst_2.txt,instructions
Die vorzeitige Auflösung des Abonnements oder der Bezug des Restguthabens ist nicht möglich.,Early termination of the subscription or the redemption of any remaining credit is not possible.,It is not possible to cancel the subscription prematurely or to withdraw the remaining balance.,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_2.txt,instructions
,,,,,,,,,
Welche Bezahlmöglichkeiten habe ich?,What payment options do I have?,What payment options do I have?,FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
,,,,,,,,,
"Sie können Ihr Abonnement bequem mittels E-Rechnung (keine Monatsabos) über Ihr Onlinebanking, Kreditkarte (Visa und Mastercard) oder auf Rechnung (via E-Mail oder Post) bezahlen.","You can pay your subscription conveniently by e-bill (no monthly subscriptions) via your online banking, credit card (Visa and Mastercard) or by invoice (via e-mail or post).","You can conveniently pay for your subscription via online banking, credit card (Visa and Mastercard) or invoice (via email or post) without having to use a monthly subscription.",FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
,,,,,,,,,
Bei Bestellungen über nzz.ch/abo stehen Ihnen folgende Bezahlmöglichkeiten zur Verfügung:,The following payment options are available to you for orders placed via nzz.ch/subscriptions:,"When ordering via nzz.ch/abo, the following payment options are available:",FALSE,FALSE,TRUE,DeepL,Supertext,de-CH_inst_3.txt,instructions
,,,,,,,,,
Monatsabonnemente,Monthly subscriptions,Monthly subscriptions,FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
- Visa und Mastercard,- Visa and Mastercard,- Visa and Mastercard,FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
- PayPal,- PayPal,- PayPal,FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
- Twint,- Twint,- Twint,FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
,,,,,,,,,
Jahresabonnemente,Annual subscriptions,Annual subscriptions,FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
- Visa und Mastercard,- Visa and Mastercard,- Visa and Mastercard,FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
- PayPal,- PayPal,- PayPal,FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
- Twint,- Twint,- Twint,FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
- Postfinance Card (nur bei Erstbestellung),- Postfinance Card (only for first order),- Postfinance Card (only for first-time orders),FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
- Rechnung (E-Mail oder Post),- Invoice (e-mail or post),- Invoice (email or post),FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
,,,,,,,,,
Hinweis:,Please note:,Note:,FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
,,,,,,,,,
"Bei Erstbestellung und Zahlung mittels Kreditkarte oder Paypal, werden zunächst die angegebenen Daten durch eine Autorisierung überprüft und die Zahlung reserviert.","For initial orders and payment by credit card or PayPal, the data provided will first be checked by an authorisation and the payment reserved.","When ordering for the first time and paying by credit card or PayPal, your details will initially be checked by an authorisation and the payment will be reserved.",FALSE,FALSE,TRUE,DeepL,Supertext,de-CH_inst_3.txt,instructions
Diese Reservation stellt keine effektive Abbuchung dar.,This reservation does not constitute an actual direct debit.,This reservation does not represent an actual debit.,FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
Die Abbuchung nach Auftragsbeginn ersetzt die Reservation (Kreditkarte) resp. Autorisierung (Paypal).,The debit after the start of the order replaces the reservation (credit card) or authorisation (PayPal).,"The debit will be made after the order has been placed, replacing the reservation (credit card) or authorisation (PayPal).",FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
"Sollte die Bestellung nicht verarbeitet werden können, verfällt diese Reservation/Autorisierung automatisch.","If the order cannot be processed, this reservation/authorisation expires automatically.","If the order cannot be processed, the reservation/authorisation will automatically expire.",FALSE,TRUE,FALSE,DeepL,Supertext,de-CH_inst_3.txt,instructions
,,,,,,,,,
E-Rechnung / E-Bill,E-invoice / E-bill,E-bill / e-bill,TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_4.txt,instructions
,,,,,,,,,
"Die E-Rechnung/E-Bill empfangen Sie dort, wo Sie diese bezahlen: direkt in Ihrem E-Banking.",You will receive your E-invoice/E-bill where you pay it: directly in your E-banking.,You receive the e-bill/e-bill where you pay it: directly in your e-banking.,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_4.txt,instructions
"Mit wenigen Mausklicks prüfen und bezahlen Sie die E-Rechnung – einfach, bequem und schnell.","With just a few mouse clicks, you can check and pay your E-invoice - simply, conveniently and quickly.","You can check and pay the e-bill with just a few mouse clicks - simply, conveniently and quickly.",TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_4.txt,instructions
Dank E-Rechnung sparen Sie viel Zeit und Papier.,"With E-invoices, you save a lot of time and paper.","Thanks to e-bill, you save a lot of time and paper.",FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_4.txt,instructions
,,,,,,,,,
So funktioniert es:,Here's how it works:,This is how it works:,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_4.txt,instructions
,,,,,,,,,
"1. Im E-Banking einloggen und für den Dienst «E-Rechnung», sofern nicht bereits aktiviert, unter dem gleichnamigen Menüpunkt anmelden.","1. Log in to your E-banking and register for the service ""E-invoice"" under the relevant menu item, if you have not already done so.","1. log in to e-banking and register for the ‘e-bill’ service, if not already activated, under the menu item of the same name.",TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_4.txt,instructions
