source,translation_A,translation_B,A,equal,B,label_A,label_B,text,text_type
Ich kann mich auf nzz.ch nicht anmelden.,Je ne peux pas me connecter sur nzz.ch.,Je ne peux pas m'inscrire sur nzz.ch.,TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
Was kann ich tun?,Que faire?,Que puis-je faire ?,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
,,,,,,,,,
"Wenn Sie auf nzz.ch im Internet-Browser nicht anmelden können, bitte versuchen Sie folgendes:","Si vous ne pouvez pas vous connecter sur nzz.ch dans votre navigateur internet, essayez les solutions suivantes:","Si vous ne parvenez pas à vous connecter à nzz.ch dans votre navigateur Internet, veuillez essayer ce qui suit :",FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
,,,,,,,,,
- Melden Sie sich (falls möglich) ab.,"- Si possible, déconnectez-vous.",- Déconnectez-vous (si possible).,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
- Löschen Sie den Cache und die Cookies Ihres Internet-Browsers.,- Effacez le cache et les cookies de votre navigateur internet.,- Effacez le cache et les cookies de votre navigateur Internet.,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
- Öffnen Sie die Webseite einmal neu und melden sich erneut an.,- Rechargez la page et essayez de vous connecter à nouveau.,- Ouvrez une nouvelle fois la page web et connectez-vous à nouveau.,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
,,,,,,,,,
"Ist eine Anmeldung immer noch nicht möglich, wenden Sie sich bitte an unseren Leserservice.","Si vous ne pouvez toujours pas vous connecter, veuillez contacter notre service à la clientèle.","Si vous ne parvenez toujours pas à vous connecter, veuillez vous adresser à notre service des lecteurs.",TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
"Um Ihr Anliegen bestmöglich bearbeiten zu können, bitten wir Sie um folgende Informationen:","Pour traiter votre requête au mieux, nous vous demandons de nous fournir les informations suivantes:","Afin de pouvoir traiter au mieux votre demande, nous vous prions de nous fournir les informations suivantes :",FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
,,,,,,,,,
"- Welchen Internet-Browser verwenden Sie? (Internet Explorer, Google Chrome, Safari, Firefox)","- Quel navigateur internet utilisez-vous? (Internet Explorer, Google Chrome, Safari, Firefox)","- Quel navigateur Internet utilisez-vous ? (Internet Explorer, Google Chrome, Safari, Firefox)",FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
Wie lautet die Version Ihres Browsers?,Quelle est la version de votre navigateur?,Quelle est la version de votre navigateur ?,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
Funktioniert es auf einem anderen Browser?,Le problème se produit-il sur un autre navigateur?,Cela fonctionne-t-il sur un autre navigateur ?,FALSE,FALSE,TRUE,Supertext,DeepL,de-CH_inst_1.txt,instructions
Bitte nennen Sie uns hier ebenfalls die Version.,"Si oui, quelle est la version?",Veuillez également nous indiquer ici la version.,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
