source,translation_A,translation_B,A,equal,B,label_A,label_B,text,text_type
Ich kann mich auf nzz.ch nicht anmelden.,Non riesco ad accedere a nzz.ch.,Non riesco ad accedere a nzz.ch.,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
Was kann ich tun?,Come posso risolvere il problema?,Cosa posso fare?,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
,,,,,,,,,
"Wenn Sie auf nzz.ch im Internet-Browser nicht anmelden können, bitte versuchen Sie folgendes:","Se non riuscite ad accedere a nzz.ch dal vostro browser, provate quanto segue:","Se non riuscite ad accedere a nzz.ch nel vostro browser Internet, provate a fare quanto segue:",TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
,,,,,,,,,
- Melden Sie sich (falls möglich) ab.,"- Se possibile, disconnettersi.",- Effettuare il logout (se possibile).,FALSE,TRUE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
- Löschen Sie den Cache und die Cookies Ihres Internet-Browsers.,- Eliminare la cronologia e i cookie dal vostro browser.,- Cancellare la cache e i cookie del browser Internet.,FALSE,FALSE,TRUE,Supertext,DeepL,de-CH_inst_1.txt,instructions
- Öffnen Sie die Webseite einmal neu und melden sich erneut an.,- Riavviare il sito e tentare nuovamente di accedere.,- Riaprire il sito web e accedere nuovamente.,FALSE,FALSE,TRUE,Supertext,DeepL,de-CH_inst_1.txt,instructions
,,,,,,,,,
"Ist eine Anmeldung immer noch nicht möglich, wenden Sie sich bitte an unseren Leserservice.","Se il problema persiste, contattate il nostro servizio clienti.","Se non riuscite ancora ad accedere, contattate il nostro servizio di lettura.",TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
"Um Ihr Anliegen bestmöglich bearbeiten zu können, bitten wir Sie um folgende Informationen:","Per aiutarvi al meglio, ci occorre sapere:","Al fine di elaborare la richiesta nel miglior modo possibile, si prega di fornire le seguenti informazioni:",FALSE,FALSE,TRUE,Supertext,DeepL,de-CH_inst_1.txt,instructions
,,,,,,,,,
"- Welchen Internet-Browser verwenden Sie? (Internet Explorer, Google Chrome, Safari, Firefox)","- Quale browser utilizzate? (Internet Explorer, Google Chrome, Safari, Firefox)","- Quale browser Internet state utilizzando? (Internet Explorer, Google Chrome, Safari, Firefox)",TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
Wie lautet die Version Ihres Browsers?,Qual è la versione del vostro browser?,Qual è la versione del browser?,TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
Funktioniert es auf einem anderen Browser?,Funziona su un altro browser?,Funziona anche con un altro browser?,TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
Bitte nennen Sie uns hier ebenfalls die Version.,"In tal caso, ci indichi anche la versione.",Vi preghiamo di indicarci anche la versione.,TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
"- Ist es Ihnen möglich, uns einen Screenshot des besagten Fehlers zukommen zu lassen?",- Potete inviarci uno screenshot del problema?,- È possibile inviare una schermata dell'errore in questione?,TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_1.txt,instructions
,,,,,,,,,
Wie kann ich mein Abonnement kündigen?,Come posso disdire il mio abbonamento?,Come posso annullare l'abbonamento?,TRUE,FALSE,FALSE,Supertext,DeepL,de-CH_inst_2.txt,instructions
,,,,,,,,,
