source,translation_A,translation_B,A,equal,B,label_A,label_B,text,text_type
Reset Your Password,Ihr Passwort zurücksetzen,Passwort zurücksetzen,FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_1.txt,instructions
Learn how to reset the password for your New York Times account.,"Erfahren Sie, wie Sie das Passwort für Ihr New York Times-Konto zurücksetzen können.","Erfahren Sie, wie Sie das Passwort für Ihr New York Times-Konto zurücksetzen können.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_1.txt,instructions
,,,,,,,,,
Did you know?,Wussten Sie schon?,"Wussten Sie, dass...",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_1.txt,instructions
Resetting your password is the easiest way to resolve login issues for your New York Times account.,"Das Zurücksetzen Ihres Passworts ist der einfachste Weg, um Login-Probleme für Ihr New York Times-Konto zu beheben.","Die Rücksetzung Ihres Passworts die einfachste Möglichkeit ist, Probleme beim Anmelden an Ihrem New York Times-Konto zu beheben.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_1.txt,instructions
,,,,,FALSE,,,,
Reset Your Password,Ihr Passwort zurücksetzen,Passwort zurücksetzen,FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_1.txt,instructions
,,,,,,,,,
"Note: If you use your Google, Facebook, or Apple account credentials to access your New York Times account, you can change your password through Google, Facebook, or Apple.","Hinweis: Wenn Sie die Anmeldedaten Ihres Google-, Facebook- oder Apple-Kontos verwenden, um auf Ihr New York Times-Konto zuzugreifen, können Sie Ihr Passwort über Google, Facebook oder Apple ändern.","Hinweis: Wenn Sie sich mit Ihren Google-, Facebook- oder Apple-Zugangsdaten bei Ihrem New York Times-Konto anmelden, können Sie Ihr Passwort über Google, Facebook oder Apple ändern.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_1.txt,instructions
,,,,,,,,,
Steps for Updating Your Email Address in Account:,Schritte zum Aktualisieren Ihrer E-Mail-Adresse im Konto:,So ändern Sie Ihre E-Mail-Adresse in Ihrem Konto:,TRUE,FALSE,FALSE,DeepL,Supertext,en-US_inst_1.txt,instructions
,,,,,,,,,
"To reset your password, visit the password reset form or select Forgot your password? during login and take the following steps:","Um Ihr Passwort zurückzusetzen, besuchen Sie das Formular zum Zurücksetzen des Passworts oder wählen Sie bei der Anmeldung die Option Passwort vergessen? und führen Sie die folgenden Schritte aus:","Um Ihr Passwort zurückzusetzen, gehen Sie zur Passwortzurücksetzungsseite oder wählen Sie beim Anmelden die Option ""Passwort vergessen?"" und führen Sie die folgenden Schritte aus:",FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_1.txt,instructions
,,,,,,,,,
1. Enter the email address associated with your New York Times account.,"1. Geben Sie die E-Mail-Adresse ein, die mit Ihrem New York Times-Konto verknüpft ist.","1. Geben Sie die E-Mail-Adresse ein, die mit Ihrem New York Times-Konto verknüpft ist.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_1.txt,instructions
2. Check your email inbox for the password reset email.,2. Überprüfen Sie Ihren E-Mail-Posteingang auf die E-Mail zum Zurücksetzen des Passworts.,2. Überprüfen Sie Ihren Posteingang auf die E-Mail zur Passwortzurücksetzung.,FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_1.txt,instructions
"Note: If you do not see the reset email come through after a minute, check your junk/spam folders.","Hinweis: Wenn Sie die E-Mail zum Zurücksetzen des Passworts nach einer Minute noch nicht erhalten haben, überprüfen Sie Ihren Junk/Spam-Ordner.","Hinweis: Wenn Sie nach einer Minute keine E-Mail zur Passwortzurücksetzung erhalten haben, überprüfen Sie bitte Ihren Spam-Ordner.",FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_1.txt,instructions
3. Select the Create your password reset button in the email.,3. Wählen Sie in der E-Mail die Schaltfläche Create your password reset.,"3. Klicken Sie in der E-Mail auf ""Passwort zurücksetzen"".",FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_1.txt,instructions
4. Enter a new password that is at least 6 characters long.,"4. Geben Sie ein neues Passwort ein, das mindestens 6 Zeichen lang ist.","4. Geben Sie ein neues Passwort ein, das mindestens 6 Zeichen lang ist.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_1.txt,instructions
5. Select Submit to reset your password.,"5. Wählen Sie Senden, um Ihr Passwort zurückzusetzen.","5. Klicken Sie auf ""Speichern"", um Ihr Passwort zurückzusetzen.",TRUE,FALSE,FALSE,DeepL,Supertext,en-US_inst_1.txt,instructions
,,,,,,,,,
"Once you reset your password, you will be automatically logged in to your New York Times account.","Sobald Sie Ihr Passwort zurückgesetzt haben, werden Sie automatisch bei Ihrem New York Times-Konto angemeldet.",Nach der Rücksetzung Ihres Passworts werden Sie automatisch bei Ihrem New York Times-Konto angemeldet.,FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_1.txt,instructions
,,,,,,,,,
"- If you cannot locate a password reset email in your inbox, check your Spam or Junk folder.","- Wenn Sie in Ihrem Posteingang keine E-Mail zum Zurücksetzen des Passworts finden, überprüfen Sie Ihren Spam- oder Junk-Ordner.","- Wenn Sie keine E-Mail zur Passwortzurücksetzung in Ihrem Posteingang finden, überprüfen Sie bitte Ihren Spam-Ordner.",FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_1.txt,instructions
"If you use Gmail, check your Promotions folder.","Wenn Sie Gmail verwenden, sehen Sie in Ihrem Promotions-Ordner nach.","Wenn Sie ein Gmail-Konto haben, überprüfen Sie bitte auch Ihren Ordner ""Promotionen"".",TRUE,FALSE,FALSE,DeepL,Supertext,en-US_inst_1.txt,instructions
"- If you are still unable to find your password reset email, add nyt@service.newyorktimes.com to your address book. Then request another password reset email.","- Wenn Sie Ihre E-Mail zum Zurücksetzen des Passworts immer noch nicht finden können, fügen Sie nyt@service.newyorktimes.com zu Ihrem Adressbuch hinzu. Fordern Sie dann eine weitere E-Mail zum Zurücksetzen des Passworts an.","- Wenn Sie immer noch keine E-Mail zur Passwortzurücksetzung finden können, fügen Sie nyt@service.newyorktimes.com zu Ihren Kontakten hinzu und fordern Sie eine weitere E-Mail zur Passwortzurücksetzung an.",FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_1.txt,instructions
,,,,,,,,,
Update Your Payment Information,Ihre Zahlungsinformationen aktualisieren,Aktualisieren Sie Ihre Zahlungsinformationen,FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_2.txt,instructions
Learn how to update or change the payment information associated with your New York Times account.,"Erfahren Sie, wie Sie die Zahlungsinformationen Ihres New York Times-Kontos aktualisieren oder ändern können.","Erfahren Sie, wie Sie die Zahlungsinformationen für Ihr New York Times-Konto aktualisieren oder ändern können.",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_2.txt,instructions
,,,,,,,,,
Did you know?,Did you know?,Wussten Sie schon?,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_2.txt,instructions
You can make changes to your subscription in Account.,Sie können Ihre Abonnementdaten im Bereich Abonnement bearbeiten.,Sie können Änderungen an Ihrem Abonnement unter Konto vornehmen.,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_2.txt,instructions
,,,,,,,,,
Update Payment Method,Zahlungsmethode aktualisieren,Zahlungsmethode aktualisieren,FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_2.txt,instructions
,,,,,,,,,
"Note: If you purchased your subscription through a third party (such as Google Play or Apple App Store), you will need to contact the third party directly to update your payment information.","Hinweis: Wenn Sie Ihr Abonnement über einen Drittanbieter (wie Google Play oder den Apple App Store) abgeschlossen haben, wenden Sie sich bitte direkt an diesen, um Ihre Zahlungsinformationen zu aktualisieren.","Hinweis: Wenn Sie Ihr Abonnement über einen Drittanbieter (z. B. Google Play oder Apple App Store) erworben haben, müssen Sie sich direkt an den Drittanbieter wenden, um Ihre Zahlungsinformationen zu aktualisieren.",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_2.txt,instructions
,,,,,,,,,
Steps for Updating Your Payment Method in Account:,So aktualisieren Sie Ihre Zahlungsmethode im Bereich Abonnement:,Schritte zum Aktualisieren Ihrer Zahlungsmethode im Konto:,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_2.txt,instructions
,,,,,,,,,
"1. In the Subscription overview section, locate Payment information.",1. Gehen Sie im Bereich Übersicht über Ihr Abonnement zu Zahlungsinformationen.,1. Suchen Sie im Abschnitt Abonnementübersicht nach Zahlungsinformationen.,FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_2.txt,instructions
2. Select Update next to your current payment method.,2. Klicken Sie neben Ihrer aktuellen Zahlungsmethode auf Bearbeiten.,2. Wählen Sie Aktualisieren neben Ihrer aktuellen Zahlungsmethode.,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_2.txt,instructions
3. Select Update with credit card or PayPal (for digital subscribers only).,3. Wählen Sie Kreditkarte oder PayPal (nur für digitale Abonnenten).,3. Wählen Sie Aktualisieren mit Kreditkarte oder PayPal (nur für digitale Abonnenten).,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_2.txt,instructions
